Region,start,Init B,Init phenol
1,0,31.99382988,0
2,30.31666667,152.6456856,0
3,39.95,150.9591383,125.6209284
4,59.06666667,150.3334538,125.1002639
5,92.43333333,386.1908286,122.7622746
6,104.6166667,382.9657848,121.7370982
