Time / min,4SO2Me-ArOPh,Product,Mass Balance
0,106.8649196,0,106.8649196
0.3014,105.6047398,0.238690312,105.8434301
0.801466667,104.7001654,1.030713396,105.7308788
1.301216667,104.4404757,1.371185605,105.8116613
1.80025,103.9885606,2.444435344,106.432996
2.299783333,103.1739347,3.400464782,106.5743995
2.800433333,102.6173213,3.858463686,106.4757849
3.3002,102.0347944,4.289030486,106.3238249
3.799183333,101.9689171,4.983518424,106.9524355
4.299116667,101.2321036,5.711514764,106.9436183
4.79865,100.8875488,6.062108377,106.9496572
5.298566667,100.2622458,6.45697829,106.7192241
5.798883333,99.31983951,6.943832044,106.2636715
6.298083333,98.88433041,7.306137419,106.1904678
6.798,98.4258174,7.841133901,106.2669513
7.29775,98.03298728,8.430753214,106.4637405
7.797583333,97.61239178,9.0859198,106.6983116
8.29815,97.1974616,9.673257384,106.870719
8.798,97.0642444,10.05810557,107.12235
9.297766667,96.44892629,10.65351184,107.1024381
9.79675,96.13506243,10.99390308,107.1289655
10.29656667,95.48776323,11.35043667,106.8381999
10.79696667,94.97006066,11.67458692,106.6446476
11.2967,94.64183402,11.96029159,106.6021256
11.79671667,94.20036045,12.32574338,106.5261038
12.29601667,93.88181176,12.72899643,106.6108082
12.80331667,93.67578916,13.03830757,106.7140967
13.30303333,93.54949097,13.25934111,106.8088321
13.80305,93.07838013,13.71518789,106.793568
14.30253333,92.7673084,14.10360458,106.870913
14.80345,92.60991649,14.43570421,107.0456207
15.3031,92.26051014,14.757759,107.0182691
15.80305,92.04269314,15.10034731,107.1430405
16.30253333,91.54683759,15.64242157,107.1892592
16.80191667,91.53355982,15.81259042,107.3461502
17.30183333,91.07591356,16.30124629,107.3771598
17.8021,91.01740008,16.51789713,107.5352972
18.30255,90.76021476,16.86617141,107.6263862
18.80145,90.39556986,17.20788698,107.6034568
19.3013,90.17469705,17.55784357,107.7325406
19.8022,89.88565987,17.80250782,107.6881677
20.30155,89.66370548,18.11449332,107.7781988
20.80141667,89.35353907,18.3970169,107.750556
21.30116667,89.19208555,18.65328037,107.8453659
21.80095,88.76295103,19.01755445,107.7805055
22.30155,88.55680026,19.27461191,107.8314122
22.80138333,88.1668651,19.67007437,107.8369395
23.30115,87.96791932,19.8494566,107.8173759
23.80078333,87.75138575,20.09343771,107.8448235
24.3016,87.67899756,20.19852672,107.8775243
24.80141667,87.30500929,20.6879581,107.9929674
25.30113333,87.10907039,20.86313708,107.9722075
25.80053333,86.78880586,21.15240862,107.9412145
26.3016,86.66431992,21.30571388,107.9700338
26.8004,86.22031103,21.66541205,107.8857231
27.30116667,86.29558141,21.72875626,108.0243377
27.80011667,85.85835633,22.05445583,107.9128122
28.30001667,85.65957021,22.30521612,107.9647863
28.8004,85.36744192,22.61239327,107.9798352
29.30016667,85.25258517,22.68799543,107.9405806
29.80015,84.92002872,23.01509692,107.9351256
30.29981667,84.76525244,23.19037969,107.9556321
30.80056667,84.5080881,23.40907583,107.9171639
31.30033333,84.32655621,23.64821057,107.9747668
31.80028333,84.01997112,23.93062097,107.9505921
32.29946667,83.88657204,24.0761379,107.9627099
32.80028333,83.71619066,24.18055886,107.8967495
33.30003333,83.64209099,24.37387026,108.0159613
33.80001667,83.38872926,24.58461524,107.9733445
34.29933333,83.12148592,24.8073785,107.9288644
34.79873333,82.98268582,25.01419957,107.9968854
35.29861667,82.74422746,25.20550348,107.9497309
35.799,82.45290367,25.47210584,107.9250095
36.29831667,82.43355861,25.54794283,107.9815014
36.80661667,82.22160289,25.81593133,108.0375342
37.30643333,82.1370003,25.82220921,107.9592095
37.80538333,81.93803505,25.98925853,107.9272936
38.30503333,81.86726108,26.21989838,108.0871595
38.80505,81.62173071,26.44187364,108.0636043
39.3048,81.71625321,26.48031429,108.1965675
39.80433333,81.37419908,26.71267695,108.086876
40.30485,81.18908142,26.88825939,108.0773408
40.80468333,80.96208059,27.03400101,107.9960816
41.30443333,80.90782681,27.19233732,108.1001641
41.80361667,80.72166331,27.37110209,108.0927654
42.30343333,80.53171005,27.60209857,108.1338086
42.80363333,80.39547607,27.7515201,108.1469962
43.30335,80.16249121,27.88523851,108.0477297
43.80325,80.09170416,28.06804643,108.1597506
44.30271667,79.90249222,28.17271828,108.0752105
44.80236667,79.82503637,28.27918545,108.1042218
45.30208333,79.5673661,28.48042575,108.0477918
45.80223333,79.5426742,28.54545126,108.0881255
46.30273333,79.27797104,28.84812085,108.1260919
46.80161667,79.07572337,28.95846173,108.0341851
47.30143333,79.01307093,29.01079129,108.0238622
47.80225,79.02718332,29.04395311,108.0711364
48.30171667,78.79992436,29.26294515,108.0628695
48.80153333,78.60706349,29.38998043,107.9970439
49.30121667,78.54904596,29.51891882,108.0679648
49.80015,78.51356318,29.62881137,108.1423745
50.29995,78.19216061,29.90154401,108.0937046
50.80065,78.09169328,29.9686828,108.0603761
51.30033333,77.85180242,30.11273665,107.9645391
51.80685,77.79914517,30.29191948,108.0910647
52.30665,77.71337426,30.33765402,108.0510283
52.80753333,77.53297317,30.47087911,108.0038523
53.30706667,77.39762508,30.59333361,107.9909587
53.80703333,77.34638126,30.73111901,108.0775003
54.3061,77.37398548,30.78479714,108.1587826
54.80698333,77.2444121,30.8254586,108.0698707
55.30668333,76.99571689,31.11316597,108.1088829
55.80555,76.91982005,31.05970384,107.9795239
56.30611667,76.77773812,31.29319956,108.0709377
56.80511667,76.54724893,31.47609298,108.0233419
57.30498333,76.76018874,31.27830187,108.0384906
57.80571667,76.55156507,31.52747736,108.0790424
58.30495,76.32126493,31.72615814,108.0474231
58.80475,76.27045808,31.87316027,108.1436183
59.3044,76.09243425,32.0022743,108.0947085
59.80541667,75.99099669,32.06539988,108.0563966
60.30498333,75.92229047,32.07735713,107.9996476
60.80476667,75.73915386,32.32234699,108.0615008
61.30445,75.75975417,32.36243042,108.1221846
61.80366667,75.67929768,32.51208734,108.191385
62.30361667,75.32079016,32.73265644,108.0534466
62.80365,75.32215995,32.77610076,108.0982607
63.30436667,75.30483643,32.76831566,108.0731521
63.80335,75.18422821,32.95842537,108.1426536
64.30326667,75.05134357,32.97364711,108.0249907
64.80371667,75.08097296,33.03173616,108.1127091
65.30335,75.05847852,33.088911,108.1473895
65.8033,74.85900467,33.24210866,108.1011133
66.30298333,74.85134941,33.38491647,108.2362659
