Time / min,4COPh-ArOPh,Product,Mass Balance
0.0,128.5014298,0.0,128.5014298
0.208116666666668,128.26258593855061,0.09989335053591619,128.36247928908654
0.4565500000000005,128.7313400010108,0.27550240678052895,129.00684240779134
0.7117166666666738,128.37041103000638,0.31348386090750463,128.68389489091388
0.9588499999999992,128.02335515243513,0.6575400706892407,128.68089522312437
1.2064666666666652,127.1368265619835,1.1877208306089797,128.32454739259248
1.4552666666666634,126.43211044331264,1.5209698548132877,127.95308029812593
1.7097333333333304,126.99974243092205,1.8196118997070108,128.81935433062907
1.9579000000000026,125.18868254724177,2.0313801832153473,127.22006273045712
2.205049999999998,125.65752939793545,2.4714687954211056,128.12899819335655
2.460699999999997,125.63655093441105,2.563361698500588,128.19991263291163
2.708566666666669,125.34072207794169,3.018724413370582,128.35944649131227
2.955699999999994,124.32761934447103,3.705895900567535,128.03351524503856
3.210633333333332,124.78030501179825,3.717473744094226,128.49777875589248
3.4583833333333285,124.6171801883363,4.438231546774437,129.05541173511074
3.707383333333337,124.33149656758914,4.5543049578873696,128.88580152547652
3.961899999999999,123.93351544922662,4.771346022471753,128.70486147169836
4.209049999999994,124.15197734064336,4.998450446619228,129.15042778726257
4.456850000000001,124.4975045660516,5.0086134527780075,129.50611801882962
4.711949999999994,123.52495722360837,5.215911129624508,128.74086835323288
4.960116666666666,124.32606826877158,5.391019073035401,129.71708734180697
5.207383333333337,123.88491630719389,6.021878168235929,129.90679447542982
5.4552333333333385,123.52763871434523,5.77205497172627,129.2996936860715
5.710566666666667,122.8947014080852,6.526942445961027,129.42164385404624
5.958749999999994,122.77982171385715,6.445413449336036,129.2252351631932
6.205900000000004,122.92309970511377,7.027312653229675,129.95041235834344
6.4615500000000035,123.04169173765563,7.497589579882287,130.5392813175379
6.708650000000004,122.33305935271217,7.402001703823915,129.7350610565361
6.956800000000006,121.80661894915734,7.6609592682732774,129.46757821743063
7.21261666666666,122.3781470661517,8.119196699455063,130.49734376560676
7.45976666666667,122.40222232582019,8.117125832178509,130.5193481579987
7.707433333333332,121.75798017130985,8.13119467741157,129.8891748487214
7.962199999999999,121.26534144198662,8.300945378309477,129.56628682029609
8.209949999999996,121.34204271571224,8.695620909012131,130.03766362472436
8.458333333333334,121.47441263359482,8.98457790511303,130.45899053870787
8.712999999999996,121.28406687302511,9.12770937355446,130.41177624657956
8.960600000000007,121.22118130491903,9.395559784907284,130.61674108982632
9.2096,120.28567749680822,9.769851649603252,130.05552914641146
9.456733333333341,120.44489779130078,9.855628178721602,130.30052597002236
9.711783333333338,119.69276198523615,10.095796238124345,129.7885582233605
9.95916666666667,120.3517909012108,10.232573516935672,130.58436441814646
10.208200000000003,119.9522256546124,11.048968892240014,131.00119454685242
10.46268333333334,119.97233713256765,10.28163280463371,130.25396993720136
10.710750000000008,120.00463834636003,10.642103093410155,130.64674143977018
10.957949999999999,119.56274047193178,11.127420997353466,130.69016146928524
11.213550000000001,119.91419793300994,11.030517690666871,130.9447156236768
11.460666666666672,119.67070008285081,11.40755423326919,131.07825431612
11.708666666666675,119.18758762921163,11.423531773235236,130.61111940244686
11.963483333333336,119.011041556098,11.682465538528316,130.6935070946263
12.211400000000003,118.78041163055411,11.997759269548832,130.77817090010294
12.45971666666666,119.19133630612087,11.85418390600544,131.04552021212632
12.707466666666672,118.75364875362501,12.199187984537334,130.95283673816235
12.961983333333334,118.63492900830269,12.448194423301583,131.08312343160426
13.209700000000005,118.35387250461656,12.448010334171553,130.80188283878812
13.458416666666668,118.23819462593197,12.78616875250118,131.02436337843315
13.713050000000006,118.14948586394107,12.872105006909752,131.02159087085082
13.960350000000002,117.96598719937654,13.029230334810139,130.99521753418668
14.208133333333338,117.88207594130068,13.054655416497662,130.93673135779835
14.464083333333338,117.58193277899356,13.581944461988465,131.16387724098203
14.711850000000004,117.49734724473335,13.80967498886904,131.3070222336024
14.958933333333334,117.42715909636281,13.765719802184572,131.19287889854738
15.214566666666663,116.56968915588637,13.993095523127579,130.56278467901393
15.461700000000004,117.13957241712792,14.014866003654221,131.15443842078216
15.70976666666667,117.56000224147805,14.569198906846097,132.12920114832414
15.957966666666668,117.26721513222031,14.337103711754093,131.6043188439744
16.212249999999994,117.1549286714902,14.499417662669844,131.65434633416004
16.460716666666666,116.44305316850338,14.875877306409299,131.3189304749127
16.70868333333333,116.55675319852676,14.791092632710082,131.34784583123684
16.963200000000008,116.35113696965198,14.994757019497186,131.34589398914915
17.21063333333333,116.3782553270264,15.27913436894933,131.65738969597572
17.458399999999997,116.21369549809023,15.359394427310402,131.57308992540064
17.71398333333333,116.10920023948768,15.745978914358469,131.85517915384614
17.962150000000005,116.08474877363051,15.928820839103125,132.01356961273365
18.2093,115.79002687036188,16.137351716583353,131.92737858694522
18.464900000000004,116.13708277164055,16.020953480711416,132.15803625235196
18.71203333333333,115.3319460365434,16.279726167237218,131.6116722037806
18.9602,115.48529639029418,16.667750350485225,132.15304674077942
19.21598333333333,115.73980053099062,16.329187927726462,132.0689884587171
19.46311666666667,115.27924701176282,16.8763807481802,132.15562775994303
19.710666666666672,115.21484517903117,16.79946762816098,132.01431280719214
19.95886666666667,114.73282804612039,17.17837248753017,131.91120053365057
20.213149999999995,114.76122732076755,17.083843604413403,131.84507092518095
20.461649999999995,114.48357360687133,17.255103396643378,131.7386770035147
20.708766666666666,114.50571828412743,17.422616754581444,131.92833503870887
20.963749999999997,113.8708825699238,17.51130808739697,131.38219065732076
21.212733333333336,113.94106147861199,17.76904025523596,131.71010173384795
