Time / min,4CONH2-ArOPh,Product,Mass Balance
0.0,152.1283089,0.0,152.1283089
0.43828333333333375,151.75346786077503,0.08012981090003721,151.83359767167508
0.9413499999999999,151.8556401876405,0.09131186394851286,151.946952051589
1.4368000000000014,151.6242999648285,0.33916930074188173,151.96346926557038
1.940566666666666,151.25401862972942,0.7529450765570769,152.00696370628648
2.442933333333334,151.1161081330763,0.8659326187712583,151.98204075184756
2.938849999999998,150.9259014076697,0.9590242659083369,151.88492567357804
3.4421333333333335,151.15346901132511,0.7849797114862451,151.93844872281136
3.9370666666666656,151.1941587486657,0.6952530772222117,151.88941182588792
4.440083333333333,151.1659508288134,0.7090178607015603,151.87496868951496
4.943933333333333,151.0860451937583,0.7518524260806703,151.83789761983897
5.438649999999999,151.027844717922,0.7862467377672469,151.81409145568924
5.942283333333334,151.05651057589034,0.9077543549061157,151.96426493079645
6.445583333333332,151.14545563460055,0.9936747196361289,152.13913035423667
6.940383333333333,151.10358153439964,0.9632185205046047,152.06680005490423
7.443516666666668,151.1522439627356,0.974912885719078,152.1271568484547
7.9389666666666665,151.02634633767144,1.055452840894731,152.08179917856617
8.442,150.93850579453525,1.1020969158366491,152.0406027103719
8.945783333333335,151.12230112474495,1.033819890127189,152.15612101487213
9.451333333333332,151.049216079086,1.0916711721516201,152.14088725123761
9.944,150.97537986752033,1.1976947516963843,152.17307461921672
10.439083333333334,150.75086445357476,1.278846584995441,152.0297110385702
10.942483333333334,150.80300353316915,1.2919390991739836,152.09494263234313
11.445016666666668,150.77218858643042,1.3108118696225355,152.08300045605296
11.940650000000002,150.78632659466342,1.266649643490315,152.05297623815375
12.443566666666667,150.69709950015496,1.4111572584522059,152.10825675860715
12.9393,150.6294832442948,1.4647296268211791,152.09421287111596
13.442816666666666,150.62331949956715,1.5106477910974565,152.1339672906646
13.945733333333331,150.65150495733255,1.40461552394345,152.056120481276
14.4412,150.58254721836636,1.3876844934335577,151.97023171179993
14.943299999999999,150.6698633638607,1.4066255211122198,152.07648888497295
15.446183333333332,150.71767244037622,1.4152058564663699,152.1328782968426
15.942816666666666,150.4411600925384,1.6232439839248771,152.0644040764633
16.444650000000003,150.64575103774408,1.5299442916323591,152.17569532937642
16.93998333333333,150.59672195817814,1.6388788153340454,152.23560077351218
17.44288333333333,150.3488308310591,1.766023304990596,152.1148541360497
17.94595,150.29762154769926,1.9089235619820533,152.20654510968131
18.441483333333334,150.34813315863985,1.802013857172018,152.15014701581188
18.944833333333335,150.32703786029447,1.9095739357781736,152.23661179607265
19.446649999999998,150.08675202954248,1.9584248453271456,152.04517687486964
19.942833333333336,150.14457916403984,1.9184492304227596,152.0630283944626
20.444866666666666,150.0424338143016,1.9376004736887293,151.98003428799032
20.948183333333336,150.18735296161586,1.9068395189007168,152.09419248051657
21.443133333333336,150.13052595825144,1.9292333250737326,152.05975928332518
21.946449999999995,150.1037905115391,1.8557221539509217,151.95951266549002
22.44855,150.10954750810825,1.9916957584956525,152.10124326660392
22.944866666666666,150.1134310278182,1.9538912103128276,152.06732223813103
23.44685,150.09106418769238,1.945396378326089,152.03646056601846
23.94288333333333,150.03782951491044,1.9621828146420497,152.0000123295525
24.44506666666667,149.85234106939185,2.037652379514801,151.88999344890667
24.948300000000003,149.83133243555451,2.0703222166474067,151.90165465220193
25.443283333333337,149.93915149007742,2.0378301532191814,151.9769816432966
25.9465,150.01996188176483,2.033856878668842,152.05381876043367
26.448633333333337,150.0081851062892,2.082327510355062,152.09051261664428
26.9449,149.87987289908602,2.1119330773394167,151.99180597642544
27.446550000000002,150.00354834336684,2.0791170078290513,152.08266535119589
27.94983333333333,149.84944235234235,2.198936306926323,152.04837865926868
28.445133333333334,149.66170289431918,2.342296800927921,152.0039996952471
28.948249999999998,149.8529886349702,2.2253003553310142,152.0782889903012
29.449799999999996,149.79372449259603,2.263174972565856,152.05689946516188
29.946283333333334,149.70253179208186,2.364294642379766,152.06682643446163
30.448249999999998,149.63339430195558,2.387376648216289,152.02077095017185
30.950333333333333,149.65937307139083,2.4220446722150952,152.08141774360593
31.44663333333333,149.53410986788018,2.4587971254689966,151.99290699334918
31.948249999999998,149.43434306092433,2.5691818242683735,152.00352488519272
32.4516,149.4603507407816,2.576122552832439,152.03647329361402
32.946149999999996,149.46777925388417,2.6080423405949005,152.07582159447907
33.44873333333333,149.4062967788609,2.633241460388393,152.0395382392493
33.944250000000004,149.26430306540942,2.756118218503524,152.02042128391295
34.44723333333333,149.19762530332298,2.7535170382541945,151.95114234157717
34.949200000000005,149.24231752786113,2.774653213429359,152.0169707412905
35.445433333333334,149.22475150352793,2.8072036554155315,152.03195515894345
35.9476,149.21010506406444,2.823438734795943,152.0335437988604
36.450583333333334,149.08294864112264,2.9839517097862207,152.06690035090887
36.94501666666667,149.03020401071342,3.0027660672480634,152.0329700779615
37.44856666666667,149.12188827692924,2.96532369620668,152.0872119731359
37.949949999999994,149.19861628929996,2.915582137725518,152.11419842702549
38.445233333333334,149.0471797586049,3.04923375594139,152.0964135145463
38.94833333333334,148.87273608182295,3.1052064158432615,151.97794249766622
39.45041666666667,148.91371985334436,3.117867143520561,152.03158699686492
39.94643333333333,148.75523990125276,3.1711367841710034,151.92637668542378
40.448483333333336,148.85419475059135,3.176981174079515,152.03117592467086
40.95175,148.86005299358465,3.2062019097551633,152.0662549033398
41.44683333333333,148.71043724192356,3.3000499861489425,152.0104872280725
41.949733333333334,148.84858012178665,3.2325086460979033,152.08108876788455
42.452083333333334,148.72888033929826,3.3269399700878943,152.05582030938615
