Time / min,4NO2-ArOPh,Product,Mass Balance
0.0,120.7257669,0.0,120.7257669
0.1383333333333326,117.91746213270352,0.7484671981414832,118.665929330845
0.3933833333333344,115.07548422377141,4.334428327286447,119.40991255105786
0.6410999999999982,112.52201495631277,6.994762515891967,119.51677747220474
0.8899333333333327,110.65849654836323,9.095877878325089,119.75437442668832
1.1373333333333335,108.6159022228117,11.246198155981624,119.86210037879331
1.392016666666666,107.88717484630752,12.798562498410165,120.68573734471768
1.6403999999999996,106.87363014769957,14.110972029819598,120.98460217751916
1.8877833333333343,105.81663777175294,14.91369305333116,120.7303308250841
2.1424666666666665,105.02337677917636,16.02782848095562,121.05120526013198
2.3900500000000005,104.84817091749565,16.740792603417248,121.5889635209129
2.637783333333334,103.97334354979535,17.469802269917263,121.44314581971261
2.893083333333334,103.70160869655429,18.426294393777663,122.12790309033196
3.1415166666666665,102.94021171255389,19.186502693793678,122.12671440634756
3.3888166666666657,102.19265967967712,19.74748726255625,121.94014694223337
3.6437000000000013,102.27757091490376,20.22032004185602,122.49789095675979
3.891183333333333,101.64153053455878,20.879632400495908,122.52116293505469
4.138983333333332,101.32315740124572,21.380547058577132,122.70370445982286
4.395116666666668,100.39280966349129,21.748366114382556,122.14117577787385
4.642499999999999,100.01247823921811,22.061792463137383,122.07427070235549
4.889866666666667,99.66885881683835,22.72257398875728,122.39143280559563
5.144683333333334,99.26490646313768,23.079926876330408,122.34483333946808
5.39295,98.90711451815437,23.427815359902226,122.3349298780566
5.640316666666668,98.6130905098861,23.876517774273005,122.48960828415912
5.8961999999999986,98.22613705499376,24.291060686254188,122.51719774124794
6.143533333333335,97.80077291608842,24.731674142538015,122.53244705862643
6.3918333333333335,97.36215762894182,24.640705676001772,122.00286330494359
6.646600000000001,97.27077607209995,25.255765849840913,122.52654192194086
6.893949999999999,96.83126849104148,25.728482441100734,122.55975093214222
7.141483333333334,96.9048868228977,25.613539957114096,122.5184267800118
7.389633333333332,97.08615347030093,26.03253588539516,123.11868935569609
7.645483333333334,96.68704737353174,26.00489526409921,122.69194263763094
7.892783333333333,96.68814921724653,26.37164963872801,123.05979885597455
8.140166666666667,93.44659806256281,27.838332235843488,121.2849302984063
8.395816666666667,84.68571148528402,36.444400014919076,121.1301115002031
8.643149999999999,79.59625210517429,42.390693500612954,121.98694560578724
8.890616666666665,75.40444977927956,47.15130369017384,122.5557534694534
9.146400000000002,71.52660320636396,50.81347338882779,122.34007659519175
9.394683333333335,69.08362365574006,53.960955770299485,123.04457942603955
9.642033333333332,66.41235924694908,56.59419671164537,123.00655595859445
9.8969,63.98216436963675,58.53492414219236,122.51708851182912
10.144200000000001,62.646359154459276,60.76294845103168,123.40930760549097
10.392383333333331,61.028634177752856,62.24996610377558,123.27860028152844
10.639733333333334,59.69858539216463,63.82700057629423,123.52558596845887
10.895683333333332,58.31955153254016,65.12361322415295,123.44316475669311
11.142983333333332,56.93318560210343,66.01023682958275,122.94342243168617
11.391249999999998,56.25821073797645,66.79248750916922,123.05069824714568
11.645983333333334,55.55024860616758,68.0477613915999,123.59800999776749
11.8933,54.740936553211725,68.72457154877313,123.46550810198485
12.141066666666665,54.00912727984641,69.52820312553891,123.53733040538532
12.396466666666667,53.08075130716442,69.01623248107545,122.09698378823987
12.644833333333334,52.49058402346853,69.8871543868471,122.37773841031563
12.892283333333333,51.760437032084525,70.25727400006373,122.01771103214826
13.14675,50.967934826320025,70.72792993932933,121.69586476564936
13.39455,50.813013466173594,71.16154647749337,121.97455994366697
13.643583333333334,50.47152286187501,71.50146476078048,121.9729876226555
13.898433333333333,49.87208171207099,71.72769122123324,121.59977293330422
14.145733333333332,49.82275328337201,72.19922216527615,122.02197544864816
14.393033333333335,49.621370861795846,72.37089027378697,121.99226113558282
14.6489,49.22592186616358,72.7117550942479,121.9376769604115
14.896199999999999,48.908485036422455,72.81044157523318,121.71892661165563
15.144566666666666,48.375594289762894,73.64515906292756,122.02075335269046
15.3992,48.28149992324606,74.02700333275762,122.30850325600368
15.646633333333334,48.0590443272627,74.3196309116988,122.37867523896149
15.894416666666666,47.802380270906305,74.47109591617608,122.2734761870824
16.143283333333333,47.53253228026113,74.8471654142287,122.37969769448983
16.397933333333334,47.16221304017643,75.23599258807144,122.39820562824787
16.6452,46.78860087866798,75.69769642497,122.48629730363798
16.89356666666667,46.72761711927863,75.86034588469504,122.58796300397367
17.148083333333332,46.499386742296664,76.30959833574933,122.80898507804599
17.395983333333334,46.62146450762898,76.59905554714678,123.22052005477576
17.644883333333336,45.88008897167063,76.84279100266214,122.72287997433277
17.899683333333336,45.97119045494319,76.982959497944,122.95414995288718
18.14698333333333,45.6526676500129,77.23554834578239,122.88821599579529
18.394433333333335,45.09369203089552,77.70815613971664,122.80184817061215
18.650233333333336,45.09602226250569,77.71528025258877,122.81130251509447
18.897616666666668,44.719918167899706,78.07558830930478,122.79550647720448
19.145950000000003,44.91412714588272,78.1058708376927,123.01999798357542
19.393116666666668,44.3931997347388,78.03367518868663,122.42687492342543
19.64811666666667,44.53955242037708,78.39875562124793,122.938308041625
19.89591666666667,31.75262237175626,84.3057591008737,116.05838147262996
20.144650000000002,22.89273496401114,93.58540466876825,116.47813963277939
20.399466666666665,16.942667853503277,99.63880062513712,116.5814684786404
20.64681666666667,13.192340738549037,103.91832307161349,117.11066381016252
20.894433333333335,10.689412369527531,106.99632258290872,117.68573495243625
21.149933333333333,8.514878266221,109.27792960843368,117.79280787465468
21.39815,7.1362207425016155,110.85556306254294,117.99178380504456
