Time / min,4-SO2Me-ArOPh,Product,Mass Balance
0,119.8466269,0.000356869,119.8469838
0.250983333,119.5854792,0.132957492,119.7184367
0.5017,119.1374066,0.620463048,119.7578697
0.746433333,118.7183027,1.101865555,119.8201683
0.996833333,118.0851141,1.550525968,119.6356401
1.247566667,117.6329554,2.17334878,119.8063042
1.49885,117.1766751,2.51131938,119.6879944
1.74985,116.9961002,2.845202084,119.8413023
2.0017,116.248545,3.439572439,119.6881174
2.252083333,116.1401209,3.709191565,119.8493124
2.503766667,115.7217544,4.139773721,119.8615281
2.747733333,115.4405833,4.492344112,119.9329274
2.998183333,114.9855722,4.889707392,119.8752796
3.249683333,114.7467598,5.233779001,119.9805388
3.500183333,114.5035026,5.452078989,119.9555816
3.751433333,114.1878372,5.783679031,119.9715162
4.00215,113.9372673,6.024715946,119.9619833
4.2534,113.6012526,6.494500834,120.0957535
4.506033333,113.3508815,6.664165254,120.0150467
4.74815,113.0914876,7.040627749,120.1321153
5.000433333,112.696262,7.417553688,120.1138157
5.2513,112.4832656,7.594746954,120.0780125
5.501733333,112.2705607,7.879909961,120.1504706
5.753233333,111.9511868,8.153083035,120.1042699
6.003666667,111.7581942,8.386569942,120.1447642
6.2552,111.4130483,8.715743144,120.1287914
6.50585,111.0894504,9.064991607,120.1544421
6.749766667,110.8017222,9.365159735,120.1668819
7.00075,110.4819021,9.647652467,120.1295545
7.251733333,110.2386352,9.919053454,120.1576886
7.5035,109.7998006,10.25389538,120.0536959
7.75475,109.5929194,10.53989275,120.1328121
8.0052,109.4532483,10.68530783,120.1385561
8.256716667,109.1497575,10.92758717,120.0773447
8.5082,108.9594128,11.16757117,120.1269839
8.751383333,108.6506987,11.45958837,120.1102871
9.002633333,108.4867234,11.66462273,120.1513461
9.253566667,108.379718,11.77172924,120.1514472
9.5058,107.9410522,12.17039619,120.1114484
9.7558,107.8475073,12.32543799,120.1729453
10.00781667,107.5563109,12.58763259,120.1439435
10.25838333,107.4178041,12.75225044,120.1700546
10.50233333,107.196434,12.97976812,120.1762021
10.75383333,106.852884,13.29504242,120.1479264
11.00508333,106.6284648,13.46959695,120.0980618
11.25575,106.3646825,13.70728752,120.07197
11.5068,106.2296971,13.93145795,120.1611551
11.7579,106.0254908,14.08350656,120.1089973
12.01028333,105.8627495,14.30227218,120.1650217
12.25291667,105.618459,14.54388592,120.1623449
12.5047,105.3920104,14.66824761,120.060258
12.7562,105.295124,14.87791616,120.1730402
13.007,104.9215882,15.18865559,120.1102438
13.2585,104.7620111,15.42856677,120.1905779
13.50921667,104.5501382,15.60186089,120.151999
13.75993333,104.3877923,15.72723188,120.1150241
14.01221667,104.1486739,15.94056932,120.0892432
14.25513333,104.0675352,16.1637457,120.2312809
14.50611667,103.7948369,16.27405892,120.0688958
14.75815,103.7248869,16.43814599,120.1630329
15.00876667,103.4040027,16.69966802,120.1036707
15.26001667,103.2720804,16.80184969,120.0739301
15.51151667,103.1476524,17.00384144,120.1514939
15.76223333,102.8366164,17.32278351,120.1593999
16.0062,102.9479753,17.31355907,120.2615343
16.25716667,102.700467,17.50368943,120.2041564
16.50953333,102.4357244,17.7363147,120.1720391
16.7599,102.3082329,17.87616992,120.1844028
17.01166667,102.0992814,18.04282038,120.1421018
17.26213333,102.0511059,18.16511238,120.2162183
17.5131,101.7682938,18.37806759,120.1463614
17.76513333,101.571132,18.58357745,120.1547095
18.00803333,101.2991,18.80726952,120.1063695
18.25991667,101.140055,18.99901967,120.1390746
18.51115,100.9765545,19.15099873,120.1275533
18.76161667,100.8988387,19.29590054,120.1947392
19.01311667,100.7421992,19.36703364,120.1092329
19.26358333,100.4542967,19.59436334,120.04866
19.51523333,100.245111,19.92067397,120.165785
19.75918333,100.3179,19.83699483,120.1548948
20.00986667,100.0656979,20.06837577,120.1340737
20.26088333,100.0119003,20.17602014,120.1879205
20.51211667,99.85790035,20.37384254,120.2317429
20.76428333,99.55267424,20.52644226,120.0791165
21.01473333,99.59659485,20.55911842,120.1557133
21.26598333,99.42159548,20.72352674,120.1451222
21.50943333,99.38915787,20.8125112,120.2016691
21.76095,99.09517629,21.09922846,120.1944048
22.01166667,98.86570515,21.29081911,120.1565243
22.26265,98.79859799,21.4418404,120.2404384
22.51466667,98.67569042,21.48553917,120.1612296
22.76513333,98.5043331,21.67206986,120.176403
23.0164,98.38672187,21.63891057,120.0256324
23.26738333,98.23153537,21.98985155,120.2213869
23.51106667,98.21392576,22.05060341,120.2645292
23.76245,98.04031979,22.09999784,120.1403176
24.01346667,97.90753999,22.27721359,120.1847536
24.26556667,97.90262231,22.39682014,120.2994424
24.51576667,97.74709758,22.51739278,120.2644904
24.76753333,97.45025735,22.70245344,120.1527108
25.01798333,97.39909079,22.74048806,120.1395788
25.2696,97.27715529,22.95849519,120.2356505
25.51381667,97.21004501,23.10306722,120.3131122
25.76428333,97.0680273,23.19513086,120.2631582
