T,A,P
78.62418333,116.111784,3.751008906
79.12358333,116.2086176,3.668809198
79.62359999,115.9846898,3.745496505
80.12424999,115.9324686,3.586106732
80.62421666,116.0547247,3.814458924
81.12369999,116.1050865,3.888739106
81.62348333,116.0553326,3.67013052
82.12423333,116.081954,4.064493495
82.62423333,115.9433366,4.001883207
83.12333333,115.94373,3.968305005
83.62323333,116.0131166,3.847323156
84.12424999,115.6609134,3.978422098
84.62321666,115.9348211,3.935104866
85.12321666,115.8242201,4.01101663
85.62298333,115.7468149,4.162147517
86.12286666,115.7468058,4.148562518
86.62328333,115.7429213,4.114976707
87.12333333,115.5583174,4.363820047
87.62304999,115.7917153,4.143590106
88.12264999,115.6625513,4.193264698
88.62264999,115.6489504,4.266048825
89.12354999,115.6416376,4.345517703
89.63073333,115.5174292,4.309475167
90.12996666,115.6721088,4.294843463
90.62954999,115.4342611,4.271504766
91.12898333,115.6079411,4.559901103
91.62879999,115.3959306,4.406137785
92.12836666,115.539839,4.434269896
92.62808333,115.4030464,4.504516506
93.12889999,115.4095665,4.337524948
93.62856666,115.5809539,4.347091849
94.12779999,115.2342288,4.350450247
94.62781666,115.3408367,4.62104318
95.12704999,115.2466558,4.490126913
95.62673333,115.165295,4.58787783
96.12693333,115.2806895,4.480950278
96.62646666,115.2648379,4.518175791
97.12568333,115.1526715,4.725013585
97.62574999,115.1776418,4.715568295
98.12499999,115.2767468,4.706843128
98.62441666,115.3636133,4.643337287
99.12411666,115.0790755,4.570361007
99.63209999,115.1390165,4.82328703
100.1311833,115.0448754,4.568520393
100.6312333,115.0095279,4.770089697
101.1305167,115.1981514,4.900569482
101.6299167,114.9551838,5.133813764
102.1300833,115.1262152,4.9367717
102.6296833,115.1452471,4.850472157
103.1289167,114.7524176,4.934930167
103.6289667,114.8908263,4.965862552
104.1282167,115.2063144,5.08364432
104.6278167,115.2144856,4.922805929
105.1271833,114.6847549,4.967263657
105.6268,114.7204928,4.92937183
106.12645,114.5645314,5.034541402
106.6260667,114.8407367,5.086755389
107.1256667,114.9089994,4.890306767
107.6253167,114.8934865,5.122570897
108.1323,114.7369208,4.944887169
108.6320833,114.8527948,5.124873622
109.1323167,115.0300846,5.145191481
109.6313167,114.9359566,5.008463958
110.1316333,114.7595179,5.030034416
110.6312,114.8688077,5.136471288
111.1304333,114.9796037,5.264406185
111.6298,114.6377823,5.063492502
112.1292333,114.8681824,5.27698993
112.6291333,114.5376542,5.504987439
113.12865,114.8911282,5.221919708
113.6279667,114.8254389,5.375947158
114.1276,114.6689017,5.367248023
114.6271833,114.5441949,5.362107203
115.1267833,114.7647865,5.423447972
115.6263333,114.7849571,5.408625447
116.12605,114.5007698,5.241467074
116.6334667,114.670289,5.595663866
117.1327,114.6564235,5.57232452
117.6321833,114.5220396,5.432539047
118.13245,114.2802759,5.470161485
118.6316,114.381814,5.454223779
119.131,114.4974498,5.746009387
119.6314,114.5030029,5.739604937
120.1306,114.4451654,5.748404964
120.62995,114.610392,5.771422952
121.12925,114.5896846,5.699332056
121.6293167,114.349987,5.587713615
122.12875,114.2459246,5.631720963
122.62805,114.5248246,5.790909418
123.12765,114.0124429,5.65918019
123.6272333,114.2661922,5.822787531
124.1268667,113.9205269,5.512757973
124.63465,114.0731596,5.626299652
125.1340833,114.0710731,5.633850878
125.6335333,114.2748172,5.917311745
