Time / min,ArOPh,Product,Mass Balance
0.0,144.2572617,0.0,144.2572617
0.15951666666666522,142.6281459526379,0.8000983519218297,143.42824430455974
0.40849999999999986,143.14264994098767,0.8043527449552971,143.94700268594298
0.6632833333333338,142.0335644531794,1.8781030993549466,143.91166755253434
0.9111833333333341,140.44593967503354,3.329567822589532,143.77550749762307
1.1592166666666686,139.4444468060447,4.183912675839124,143.62835948188382
1.4083999999999983,138.1776879080755,5.4002309772220976,143.5779188852976
1.6631333333333336,137.39942635679554,6.361924137649428,143.76135049444497
1.910833333333335,135.8943094991889,7.540926936750307,143.4352364359392
2.1591166666666672,135.03777783460208,8.506593355058724,143.5443711896608
2.4082833333333307,134.3575790487463,9.264594786817733,143.622173835564
2.663033333333336,133.75166444631714,9.954527467599652,143.7061919139168
2.910566666666667,132.85528689325665,10.662833738630939,143.5181206318876
3.1587500000000017,132.17165579475616,11.453297619193274,143.62495341394944
3.4145833333333333,131.95419637250976,11.874340245974318,143.82853661848407
3.6631166666666632,131.32935589795147,12.300419420416574,143.62977531836805
3.910366666666664,131.18109387957492,12.802321161880498,143.9834150414554
4.158649999999996,130.85260925967296,13.049589722187578,143.90219898186055
4.414450000000003,130.0444775728009,13.953224583735308,143.9977021565362
4.663333333333337,129.2712317279799,14.684682454817523,143.95591418279744
4.910183333333332,128.5912541677011,15.057112619832797,143.6483667875339
5.158516666666666,128.1931925394016,15.676509084406673,143.86970162380825
5.414333333333335,127.72990884694327,16.297788889476145,144.0276977364194
5.662700000000003,127.04060565067022,16.83224716433371,143.87285281500394
5.910066666666664,126.75519146143301,17.337608848736927,144.09280031016993
6.158366666666666,126.01234852887687,17.93350967116533,143.9458582000422
6.41423333333333,125.32252694940938,18.354483435170724,143.67701038458011
6.661599999999998,125.27051440940605,18.58930127023981,143.85981567964586
6.909983333333336,125.01143506727534,18.935315504210667,143.946750571486
7.164899999999997,124.41350049707806,19.83475960926578,144.24826010634385
7.41411666666667,124.31711827444417,19.856524442605973,144.17364271705014
7.661583333333336,123.71129677778312,20.3792528018044,144.09054957958753
7.909966666666666,123.44986965273134,20.782517214524855,144.2323868672562
8.164633333333336,123.0486601646115,21.205566582939362,144.25422674755086
8.41251666666667,122.37200685456736,21.66916987127622,144.04117672584357
8.661616666666669,122.3818519639754,21.99917017050115,144.38102213447655
8.908949999999997,121.82907879813631,22.514660836642598,144.3437396347789
9.164649999999998,121.31236917249171,22.835835701953382,144.1482048744451
9.412083333333332,120.98008695045087,23.089939680615377,144.07002663106624
9.660149999999998,120.8614453852429,23.300803181842205,144.1622485670851
9.908966666666666,120.34281806379946,23.640161868167265,143.98297993196672
10.163649999999999,120.1826888171527,24.045173939370127,144.22786275652282
10.412016666666666,119.71168421808812,24.531740487161777,144.2434247052499
10.659516666666665,119.75527106620895,24.429099002000854,144.1843700682098
10.915333333333335,119.27391892492477,24.909716425643538,144.1836353505683
11.16366666666667,118.85103830916147,25.334161553480993,144.18519986264246
11.41103333333333,118.88703663239569,25.45840668163483,144.34544331403052
11.65946666666667,118.31877041812685,25.744240014250508,144.06301043237735
11.915366666666667,118.36844953280249,26.00490567122808,144.37335520403056
12.16235,117.93900520709374,26.215102917218058,144.1541081243118
12.41105,117.63136333443389,26.705318190795726,144.3366815252296
12.665816666666668,117.46013151529307,26.704165523843212,144.16429703913627
12.913616666666666,117.0829461721502,27.112917054861413,144.1958632270116
13.161650000000002,117.20074087554683,27.132657284680224,144.33339816022706
13.409650000000003,116.95152040802434,27.46624725392279,144.41776766194712
13.66583333333333,116.5057661361065,27.624357206375706,144.1301233424822
13.913183333333336,116.3273483355868,27.908639439113312,144.2359877747001
14.161516666666664,115.89199485415546,28.188209361899375,144.08020421605482
14.409033333333332,116.04798952248741,28.45794151491461,144.50593103740204
14.664799999999998,115.55072705121857,28.676520258466805,144.22724730968537
14.913199999999998,115.53126672338522,28.90869007000314,144.43995679338835
15.160533333333335,114.99548063866953,29.0690802160478,144.06456085471734
15.4157,114.91589948501971,29.386808450059274,144.30270793507898
15.664816666666669,114.9953058912796,29.425930548354547,144.42123643963416
15.912183333333337,114.60945316267848,29.573771002229474,144.18322416490795
16.160533333333333,114.47692253783558,29.767847376107575,144.24476991394314
16.415349999999997,114.52683717210492,30.08422621469097,144.61106338679588
16.6631,114.19810729215456,30.293661846745017,144.49176913889957
16.911083333333334,113.75682263788887,30.452144656112562,144.20896729400144
17.16713333333333,113.66231228721941,30.47603072999816,144.13834301721758
17.414499999999997,113.6673757218699,30.855539803414622,144.52291552528453
17.66293333333333,113.08401891758663,30.908692954201662,143.9927118717883
17.910383333333336,112.69777639607697,31.25224512908761,143.95002152516457
18.165783333333334,112.68937721017322,31.436890673994487,144.1262678841677
18.414566666666662,112.22409575130905,31.824436786370427,144.04853253767948
18.661966666666665,112.21846896563095,31.94528724923274,144.1637562148637
18.917066666666663,112.1662272583718,32.06557497509918,144.231802233471
19.16511666666667,112.19995164880058,32.08562815460509,144.28557980340565
19.41306666666667,111.81706157491247,32.32310907278743,144.1401706476999
19.662033333333337,111.73195840361262,32.43125586265812,144.16321426627076
19.916833333333336,111.6620523956276,32.61404705287456,144.27609944850215
20.165166666666664,111.17428389100347,33.03601429694625,144.21029818794972
20.412599999999998,111.18832539414268,33.117155548061554,144.30548094220424
20.66031666666667,110.93993456379746,33.28489385624968,144.22482842004715
20.915883333333333,111.00684972620913,33.53325439112833,144.54010411733745
21.164233333333332,110.95464685270923,33.400839539070944,144.35548639178018
21.41266666666667,110.80061088918005,33.51578604979747,144.3163969389775
