Time / min,4SO2MeArOPh,Product,Mass Balance
0.0,35.76826257,0.0,35.76826257
0.056033333333332776,35.71597212130247,-0.054131048889608624,35.66184107241286
0.30644999999999906,35.564181265835714,-0.07431326203828344,35.48986800379743
0.5569500000000005,35.58224174582045,-0.13177876851769846,35.45046297730275
0.8077166666666661,35.57529661508399,-0.12356841191485195,35.45172820316914
1.0586166666666676,35.43031300584337,-0.0857077851801681,35.3446052206632
1.3102833333333328,35.275286233399065,0.00010129736475920192,35.27538753076382
1.5601833333333333,35.13266097846798,0.060727906631289214,35.193388885099274
1.8120000000000005,34.90194693532709,0.14789728976253955,35.04984422508963
2.0625,34.765972228960415,0.2011367747744498,34.96710900373486
2.3065500000000005,34.53374059267458,0.2998506208078924,34.83359121348248
2.5572000000000004,34.49916219387782,0.3212061539202957,34.820368347798116
2.8077666666666667,34.33971340102555,0.36583283191961885,34.70554623294517
3.058366666666666,34.31866002582572,0.4199029765629845,34.73856300238871
3.3096166666666664,34.25172076560578,0.4559591902340959,34.70767995583988
3.560016666666667,34.17999854879022,0.4905143070211643,34.67051285581139
3.810449999999999,34.1170861156234,0.5296770273929322,34.64676314301634
4.061116666666667,34.02170156769806,0.5852009457149329,34.60690251341299
4.311883333333332,33.98036377473504,0.6010917597370463,34.581455534472084
4.562633333333334,33.926778757335974,0.6556559380770154,34.58243469541299
4.806683333333333,33.78119125943195,0.6774091435068345,34.458600402938785
5.057133333333334,33.74700433862673,0.7356603193196435,34.48266465794637
5.307649999999999,33.72989558251673,0.7513698034947118,34.481265386011444
5.558483333333333,33.61386372736277,0.8143596958165324,34.428223423179304
5.8092999999999995,33.58714831420715,0.8555660122371483,34.442714326444296
6.060116666666667,33.56857433628988,0.9002499035102568,34.468824239800135
6.3119000000000005,33.48206952592994,0.9196511210573924,34.40172064698733
6.5616,33.33686638900346,0.9531315121328214,34.28999790113628
6.812383333333334,33.34237047452341,1.0013824440945365,34.34375291861795
7.064416666666667,33.24465225182238,1.0260438820081161,34.2706961338305
7.306616666666666,33.208826607566195,1.0531366704050211,34.26196327797122
7.557416666666666,33.17779585214251,1.088821004490742,34.26661685663325
7.808116666666668,33.10849998475425,1.1147872073976448,34.2232871921519
8.059983333333332,33.099468161931775,1.1395236181202866,34.23899178005206
8.310533333333334,32.950865917653914,1.1615312882731732,34.11239720592709
8.560483333333332,32.88820661863271,1.1535682250926238,34.041774843725335
8.812333333333333,32.928727893892024,1.2006854264028601,34.12941332029489
9.062800000000001,32.89396083072726,1.210249021896494,34.104209852623754
9.313250000000002,32.90162487259616,1.279501594034873,34.181126466631035
9.563466666666667,32.7116357009146,1.2886444109238517,34.00028011183845
9.806966666666664,32.63450226476342,1.293436301699882,33.927938566463304
10.057599999999999,32.60448117147019,1.3487523389398648,33.95323351041006
10.308466666666668,32.64611429531461,1.3015977002489398,33.94771199556355
10.559116666666666,32.51947041721107,1.373495856733037,33.892966273944104
10.811033333333334,32.458580968189686,1.3821100773766133,33.8406910455663
11.061533333333333,32.38467720568789,1.423891690831207,33.8085688965191
11.312000000000001,32.38387480817519,1.4508506870810547,33.83472549525625
11.562033333333334,32.26396493824584,1.4717609734810562,33.735725911726895
11.813933333333333,32.253475585763674,1.511429100441367,33.76490468620504
12.064716666666667,32.22616677398803,1.551485493409352,33.77765226739738
12.315166666666668,32.11192652952319,1.5894472159617716,33.70137374548496
12.558016666666667,32.146763137579015,1.5933668799652176,33.74013001754423
12.80865,31.929724623259485,1.6478688424657049,33.57759346572519
13.059366666666666,31.86048649389953,1.638680272131059,33.49916676603059
13.309849999999999,31.831347398511245,1.700075264136732,33.53142266264798
13.561183333333334,31.78074806830542,1.735057548131793,33.51580561643721
13.81185,31.788595365090206,1.747083555907105,33.53567892099731
14.062616666666667,31.74310626950461,1.7508717584057694,33.49397802791038
14.316249999999998,31.76173390411385,1.7837948910259558,33.54552879513981
14.560149999999998,31.62131854385762,1.8059240979112547,33.42724264176887
14.810816666666664,31.56949628684712,1.873834052875048,33.443330339722166
15.06155,31.458955432661682,1.8658403989434564,33.32479583160514
15.312000000000001,31.427945970577607,1.9384070794587462,33.36635305003635
15.563349999999998,31.344098205970003,1.9328227268897378,33.27692093285974
15.81395,31.31790444809341,1.9618775198319907,33.2797819679254
16.064716666666666,31.32589565573983,1.9962094660535334,33.32210512179336
16.315183333333334,31.355034081336694,1.9843779995695134,33.33941208090621
16.56501666666667,31.230050634609942,2.0322054911458163,33.262256125755755
16.808633333333333,31.186639698600807,2.048368532050669,33.235008230651474
17.059316666666668,31.149551017151804,2.1009945718405754,33.25054558899238
17.30976666666667,31.094564425220845,2.1160489068097665,33.21061333203061
17.5605,31.101435479516173,2.1119564681667287,33.2133919476829
17.811283333333332,30.98179516124068,2.1807065002614907,33.16250166150217
18.061950000000003,30.89018362240218,2.2079075483463706,33.09809117074855
18.313766666666666,30.899955518643406,2.1926069354840467,33.09256245412745
18.56341666666667,30.79902642869055,2.2278871517938783,33.026913580484425
18.814183333333336,30.760532814246645,2.2623766689303424,33.02290948317699
19.066066666666664,30.719336071264962,2.262660224981685,32.98199629624665
19.371583333333334,30.71465882488732,2.3351792058087257,33.049838030696044
19.562966666666668,30.652738492182465,2.332015643430013,32.98475413561248
19.813733333333335,30.664908118222797,2.3597354752147526,33.02464359343755
20.0645,30.458518371538844,2.3605388802949876,32.81905725183383
20.316300000000002,30.537176923473318,2.3874160458996725,32.92459296937299
20.57316666666667,30.488784760824135,2.4187738842172197,32.907558645041355
20.815833333333334,30.403911688455228,2.4480674813171537,32.851979169772385
