Time / min,4CO2Et-ArOPh,Product,Mass Balance
0.0,126.0229334,0.0,126.0229334
0.02526666666666794,125.54562518231263,0.1652098059735219,125.71083498828615
0.2724833333333322,124.48276563521145,0.9320732783019277,125.41483891351338
0.5280666666666661,124.23555598800824,0.9525561950411947,125.18811218304944
0.7763333333333321,124.18136789888345,1.1729487975146653,125.35431669639812
1.0234499999999989,123.89056939807979,1.3775749895413179,125.2681443876211
1.2713166666666667,123.83187186782695,1.5995222444470105,125.43139411227396
1.5268166666666654,123.86775283872413,1.7985625666535785,125.6663154053777
1.7749333333333348,123.64144266897833,1.8940688467548226,125.53551151573315
2.022266666666667,123.68527271608127,1.8319154333263308,125.5171881494076
2.277816666666668,123.95793654870715,1.9089083028949705,125.86684485160212
2.5259666666666667,124.35030369916755,2.0153626980456845,126.36566639721323
2.7732166666666673,124.08755328748674,2.072551577514669,126.16010486500141
3.0208999999999984,124.04886026743436,2.162753585176195,126.21161385261055
3.276583333333334,123.98471131713873,2.1334682866442836,126.11817960378302
3.5247166666666656,123.97726255597267,2.269640095768331,126.24690265174101
3.7718,123.49806685693959,2.2834624129191803,125.78152926985877
4.027366666666667,123.6851982437883,2.1865323722572967,125.8717306160456
4.275683333333332,123.15306879654541,2.2636202687766174,125.41668906532203
4.522783333333333,123.18962713770355,2.3312466573039607,125.52087379500752
4.778533333333333,122.85301658732749,2.385400493566242,125.23841708089373
5.0266666666666655,122.82622418972964,2.4741940599308196,125.30041824966047
5.274433333333332,122.67032723367338,2.5767885929391094,125.24711582661249
5.521516666666666,122.2924575563533,2.7974543895739115,125.08991194592721
5.777116666666666,122.24350021223,2.740493734247801,124.98399394647781
6.025266666666668,122.24084613638641,2.8925620485972137,125.13340818498362
6.272533333333334,122.23383733457004,2.9992505677410386,125.23308790231108
6.528116666666665,122.21166454370167,3.050305291300579,125.26196983500225
6.775366666666666,121.84616941604747,3.026898213828085,124.87306762987556
7.02355,122.1107744539352,3.1647037876289326,125.27547824156414
7.278283333333332,121.53419008408392,3.4216297695082045,124.95581985359212
7.526866666666668,121.67295207044197,3.476952471431174,125.14990454187314
7.773983333333335,121.52169431854844,3.494330508648802,125.01602482719724
8.029166666666667,121.49615350772609,3.4773490124400466,124.97350252016614
8.27785,121.43306729206807,3.595746042716143,125.02881333478422
8.52495,121.5986647870192,3.7787031113733622,125.37736789839256
8.773233333333334,121.36126893844533,3.774232706158776,125.1355016446041
9.028866666666666,121.53101255650618,3.9171800207060055,125.44819257721218
9.276583333333333,121.42482946331857,3.88335379198515,125.30818325530372
9.5237,121.18500597638749,3.9750450360423124,125.1600510124298
9.778733333333332,121.21560492504068,4.089957797386461,125.30556272242714
10.0274,121.39341244048163,4.2221798913998345,125.61559233188146
10.274683333333334,121.18447529365643,4.258073092586302,125.44254838624273
10.529483333333333,121.14881307245254,4.337733942211419,125.48654701466396
10.778583333333332,120.85375733212412,4.419606940565643,125.27336427268976
11.025699999999999,121.00385851202788,4.426749051016236,125.4306075630441
11.273433333333333,121.19592840520833,4.44119411158311,125.63712251679145
11.5282,121.20405949289176,4.590898489312859,125.79495798220462
11.777166666666668,121.03954102038641,4.624786623381543,125.66432764376795
12.024283333333335,120.84086783487973,4.696064915836268,125.536932750716
12.27905,120.85847209098502,4.809459021539164,125.66793111252419
12.526833333333332,120.78625603786824,4.913108174281733,125.69936421214997
12.775450000000001,121.19465893580168,4.827152924938238,126.02181186073992
13.03,120.84226116895336,4.934846830943972,125.77710799989732
13.277666666666669,120.9314109289949,4.989975447481311,125.9213863764762
13.525383333333332,121.16611874729738,5.118654838473533,126.2847735857709
13.781416666666667,121.12836357235682,5.09044062389978,126.2188041962566
14.02855,120.97845262238326,5.035140942061051,126.0135935644443
14.276183333333332,121.11327588721994,5.155534566589579,126.26881045380952
14.525066666666666,120.7854515242039,5.01004674863052,125.79549827283442
14.779700000000002,120.36177829966235,5.128324705370135,125.49010300503248
15.026916666666663,119.95581490166704,5.222065334736943,125.17788023640398
15.27471666666667,120.32176241407642,5.5386021376924255,125.86036455176884
15.530133333333334,120.5843152483542,5.5636367204294475,126.14795196878364
15.778316666666667,120.37747184592328,5.340122395639009,125.7175942415623
16.02545,119.77283961039164,5.307209991766183,125.08004960215783
16.281150000000004,119.63325371433613,5.394811501337203,125.02806521567334
16.52935,119.44794772294482,5.541115853566609,124.98906357651143
16.776666666666664,119.62713435219833,5.878798245412746,125.50593259761106
17.02395,119.70832589377754,6.0131861451626065,125.72151203894015
17.279850000000003,119.7816415923588,5.975483756484347,125.75712534884315
17.52701666666667,119.98874136225527,6.105580156366182,126.09432151862146
17.775216666666665,120.10380617165966,6.143148851881452,126.2469550235411
18.030883333333335,119.84870455441612,6.02535374499885,125.87405829941497
18.27803333333333,120.01001729233465,6.137744520010281,126.14776181234494
18.526216666666663,119.86296887888022,6.111547177864246,125.97451605674448
18.780450000000005,119.73159487331506,6.147087589984642,125.8786824632997
19.02921666666667,119.68895724679507,6.237500017157908,125.92645726395298
19.2768,119.66229425333471,6.209332224699279,125.87162647803399
19.5313,119.35425867531733,6.372133496667908,125.72639217198524
19.7789,119.31608868897408,6.2946083009380835,125.61069698991216
20.027800000000003,119.14964138625268,6.338586004526971,125.48822739077966
20.282249999999998,119.31132530100349,6.356969365210819,125.66829466621431
20.530466666666666,118.89469298137384,6.269374084997494,125.16406706637133
20.77763333333333,118.61700214800074,6.377843565807648,124.99484571380839
21.02498333333333,118.67664594953027,6.514156918218294,125.19080286774856
21.2812,118.6110323433596,6.504697366246551,125.11572970960614
