Time / min,4SO2Me-ArOPh,Product,Mass Balance
0.00,89.03,0.03,89.06
0.11,88.57,0.91,89.48
0.36,88.21,1.55,89.76
0.60,88.42,1.43,89.85
0.86,88.25,1.51,89.77
1.11,88.17,1.70,89.87
1.35,88.36,1.24,89.60
1.61,88.17,1.74,89.92
1.86,88.02,1.71,89.73
2.10,88.28,1.58,89.85
2.35,87.88,1.54,89.42
2.61,87.95,1.99,89.94
2.86,87.86,1.62,89.48
3.10,87.97,1.85,89.82
3.36,87.86,1.81,89.68
3.61,87.56,2.22,89.78
3.85,87.65,2.13,89.78
4.11,87.35,2.17,89.52
4.36,87.61,2.35,89.96
4.60,87.79,2.05,89.84
4.86,87.73,1.98,89.71
5.11,87.57,2.31,89.87
5.35,87.43,2.21,89.64
5.61,87.47,2.19,89.66
5.86,87.14,2.33,89.47
6.11,87.21,2.64,89.85
6.35,87.36,2.21,89.57
6.61,87.07,2.42,89.49
6.86,86.94,2.70,89.63
7.10,86.79,2.56,89.35
7.36,86.88,2.74,89.62
7.61,87.11,2.43,89.54
7.85,86.54,2.83,89.36
8.11,86.56,2.73,89.29
8.36,86.72,3.11,89.83
8.61,86.25,3.31,89.56
8.86,86.46,3.13,89.60
9.11,86.42,3.19,89.61
9.36,86.40,2.92,89.33
9.61,86.44,3.47,89.91
9.86,86.60,3.03,89.63
10.11,86.42,3.39,89.80
10.36,86.22,3.31,89.53
10.61,86.00,3.76,89.76
10.86,85.85,3.86,89.71
11.11,86.25,3.48,89.73
11.36,85.81,3.75,89.57
11.61,85.91,3.74,89.65
11.86,86.15,3.72,89.87
12.11,86.02,3.83,89.85
12.36,85.87,3.83,89.70
12.61,85.57,3.92,89.49
12.86,85.79,3.86,89.65
13.11,85.84,3.91,89.75
13.36,85.53,3.97,89.50
13.61,85.76,4.03,89.79
13.86,85.79,3.90,89.69
14.11,85.69,3.98,89.67
14.36,85.28,4.57,89.84
14.61,85.80,4.02,89.81
14.86,85.57,4.22,89.79
15.11,85.26,4.42,89.68
15.36,85.26,4.44,89.70
15.61,85.49,4.18,89.67
15.86,84.93,4.80,89.73
16.11,85.34,4.53,89.87
16.36,85.00,4.62,89.62
16.61,85.25,4.36,89.61
16.86,84.84,4.58,89.42
17.11,84.82,4.88,89.70
17.36,84.95,4.67,89.62
17.61,85.05,4.59,89.64
17.86,84.72,4.75,89.47
18.11,84.73,5.05,89.78
18.36,84.79,4.79,89.58
18.61,84.63,4.90,89.53
18.86,84.63,4.95,89.59
19.11,84.75,5.00,89.75
19.36,84.56,5.02,89.58
19.61,84.42,5.14,89.56
19.86,84.58,5.14,89.72
20.11,84.62,4.87,89.49
20.36,84.46,5.19,89.65
20.61,84.30,5.21,89.50
20.86,84.28,5.31,89.59
21.11,84.54,5.09,89.63
21.36,84.44,5.23,89.67
21.61,84.10,5.58,89.68
21.86,84.43,5.10,89.53
22.11,84.22,5.35,89.56
22.36,83.92,5.67,89.59
22.61,83.98,5.67,89.66
22.86,84.14,5.45,89.58
23.11,83.91,5.64,89.55
23.36,84.09,5.53,89.63
23.61,83.85,5.83,89.68
23.86,83.47,6.01,89.48
24.11,83.88,5.78,89.66
24.36,83.90,5.85,89.76
24.61,83.79,5.78,89.57
24.86,83.68,5.75,89.43
25.11,83.17,6.13,89.29
25.36,83.21,6.26,89.47
25.61,83.57,5.94,89.51
25.86,83.10,6.26,89.36
26.11,83.51,6.21,89.73
26.36,83.38,6.16,89.54
26.61,83.56,6.00,89.56
26.86,83.16,6.39,89.56
27.11,83.03,6.35,89.38
27.36,83.23,6.36,89.60
27.61,83.13,6.40,89.53
27.86,83.13,6.46,89.59
28.16,82.95,6.73,89.68
28.36,83.23,6.31,89.55
28.62,83.12,6.41,89.53
28.86,82.65,6.86,89.51
29.11,83.22,6.25,89.47
29.36,82.65,6.72,89.37
29.61,82.83,6.59,89.42
29.86,82.90,6.79,89.69
30.11,82.78,6.91,89.69
30.36,82.35,6.99,89.34
30.61,82.70,6.72,89.42
30.86,83.00,6.36,89.36
31.11,82.51,6.83,89.34
31.36,82.64,6.80,89.44
31.61,82.52,6.88,89.40
31.86,82.37,7.04,89.41
32.11,82.34,7.02,89.36
32.36,82.23,7.39,89.62
32.61,82.30,7.21,89.51
32.86,82.32,7.31,89.63
33.11,82.18,7.33,89.51
33.37,82.03,7.53,89.56
33.61,82.48,7.22,89.69
33.86,82.17,7.29,89.46
34.11,82.25,7.34,89.59
34.36,81.87,7.62,89.49
34.61,81.97,7.35,89.33
34.86,81.93,7.48,89.41
35.11,82.02,7.57,89.59
35.36,82.01,7.25,89.26
35.61,81.63,7.75,89.38
35.87,81.64,7.58,89.22
36.11,81.64,7.87,89.51
36.36,81.72,7.72,89.44
36.62,81.66,7.76,89.42
36.86,81.83,7.73,89.56
37.11,81.74,7.85,89.60
37.37,81.36,8.15,89.51
37.61,81.45,8.25,89.70
37.86,81.31,8.09,89.40
38.12,81.64,7.85,89.49
38.37,81.73,7.82,89.55
38.61,81.30,8.20,89.50
38.87,81.17,8.34,89.51
39.11,81.23,8.32,89.55
39.36,81.17,8.16,89.33
39.61,81.17,8.24,89.41
39.87,81.13,8.50,89.62
40.11,81.31,8.18,89.49
40.36,80.84,8.57,89.41
40.62,81.03,8.56,89.59
40.86,81.05,8.73,89.78
41.11,81.20,8.52,89.72
41.37,80.99,8.73,89.72
41.61,80.86,8.61,89.47
41.86,81.12,8.58,89.70
42.12,80.52,9.16,89.69
42.37,80.70,9.05,89.75
42.61,80.89,9.03,89.92
42.87,80.27,9.61,89.88
43.12,80.78,9.14,89.92
43.36,80.44,9.40,89.85
43.61,80.73,9.48,90.21
43.87,80.63,9.60,90.23
44.11,80.84,9.32,90.16
44.36,80.62,9.59,90.21
44.62,80.93,9.63,90.55
44.86,80.87,9.04,89.91
45.11,80.62,9.64,90.26
45.37,81.00,9.17,90.17
45.62,80.85,9.13,89.98
45.86,80.64,9.21,89.84
46.12,80.70,9.22,89.92
46.37,80.40,9.49,89.89
46.61,80.60,9.15,89.75
46.87,80.32,9.33,89.65
47.12,80.35,9.40,89.75
47.36,80.16,9.56,89.72
47.62,80.12,9.31,89.43
47.87,80.26,9.32,89.58
48.11,80.17,9.47,89.64
48.37,79.92,9.41,89.33
48.62,80.00,9.60,89.60
48.86,79.75,9.67,89.42
49.11,79.76,9.53,89.29
49.37,79.58,9.85,89.43
49.62,79.58,9.94,89.52
49.86,79.78,9.84,89.62
50.12,79.41,10.16,89.56
50.37,79.33,10.18,89.50
50.61,79.55,10.13,89.68
50.87,79.25,10.39,89.64
51.12,79.71,10.07,89.78
51.36,79.58,10.06,89.64
51.62,79.18,10.75,89.93
