Time / min,4NO2-ArOPh,Product
0,104.496917,0
1.65,91.10324165,13.95133241
3.3,85.57619811,18.92492541
8.316666667,54.17024908,50.66545214
9.516666667,43.72689257,60.77625307
10.85,36.45744189,68.41670709
12.8,30.88129807,73.52664483
14.61666667,26.31499597,77.91050409
18.1,22.22723294,81.46656114
23.7,4.823626122,98.10339698
24.73333333,2.582569365,99.7745613
31.46666667,0.093990505,102.2587527
