Time / min,ArOPh,Product
0,102.4227757,0
1.533333333,85.06187435,19.17863568
2.883333333,78.01225223,22.99957892
8.116666667,49.83143885,54.59003644
9.033333333,42.33290846,63.85828294
11.21666667,30.32843731,74.06525238
12.35,22.80288023,78.19711977
14.46666667,19.92539646,81.32114284
17.35,5.500078418,94.33213021
18.28333333,2.416244803,98.75694636
21,0,101.3255226
