Time / min ,4CN-ArOPh,Product
0,156.3944269,0
5.85,148.3459785,7.455098412
21.13333333,141.7885683,14.01975937
40.15,130.057843,26.25844924
46.93333333,120.177859,36.11831157
49.75,113.5551281,43.25073317
54.26666667,104.743849,50.41323858
59.9,95.62834187,58.19050103
71.53333333,88.21934412,67.49643827
86.75,76.0106288,76.65569616
104.55,61.22557802,89.2948495
114.5666667,38.72519075,111.6771735
381.25,0.343091876,151
