Time / min,4-SO2MeArOPh,Product
0,122.3399467,0
5.466666669,120.3371075,0.831134477
57.36666667,115.4440238,6.111257615
299.1833333,102.1132421,19.94151778
376.3,96.59551368,23.61974879
399.15,90.26246556,31.01597742
427.0666667,82.91673182,38.12809339
430.65,80.88079341,38.4046535
446.5,77.4745213,41.54224086
539.5666667,64.41852924,54.89570608
555.35,61.95773045,55.69426085
568.05,56.86616452,60.77658175
592.7333333,46.11749035,71.68360565
1415.3,0.608807526,116.8257509
