Time / min,4SO2MeArOPh,Product
0,110.2221431,0
108.5666667,106.8577101,3.364433013
311.9166667,102.4902292,7.731913853
453.6833333,100.5766247,9.645518316
569.15,97.89926264,11.37875736
855.4666667,77.1393809,32.13863909
862.4,76.52152112,32.75649887
867.5166667,75.35696418,32.51044274
1521.016667,58.01498328,49.85242365
1529.8,57.60657022,50.2608367
1547.716667,54.21004422,51.83653833
1573.616667,50.60871062,55.43787193
1657.966667,41.36932999,64.67725256
1812.6,31.47124707,74.57533548
