Time / min,4SO2Me-ArOPh,Product
0,49.80584112,0
16.1,46.74687514,2.932577791
41.45,42.20913654,7.729132069
81.21666667,37.23801209,12.61967289
107.4971833,33.46176246,16.23766743
394.1,22.40374365,27.05286321
406.1166667,18.36950567,30.41759259
1047.666667,0,49.07709248
