Time / min,A,P
0,86,0
4.983333335,86.25033433,0.329490661
712.65,70.15784839,13.81318369
761,66.01607949,17.34999867
1125.9,49.01130778,37.27416363
1240.283333,38.85543519,45.62969636
2113.016667,5.297163034,78.17774693
