Time / min,A,P
0,122.3446211,0
33.55,120.7488846,1.595736557
63.65,118.8790213,3.465599882
280.9666667,109.6902069,12.65441433
908.0833333,97.31219512,25.03242609
944.4,93.84171444,27.39286734
1016.066667,87.84500446,33.38957732
1087.566667,81.71537255,39.51920922
1103.466667,78.43487617,41.14757091
1267.25,69.58622835,49.99621873
1442.433333,61.69285351,57.88959357
1445.516667,58.88117933,58.57735208
1550.35,37.1930162,80.26551521
2427.016667,5.383628707,112.0749027
2442.483333,6.443662042,111.0148694
