Time / min,A,P
0,128.2071981,0
3.033333333,123.6878289,3.112881015
15.63333333,114.9186384,12.53784477
65.83333333,104.2010223,25.88817773
71.05,98.47639691,31.06825949
74.25,91.39604447,35.74245176
80.23333333,84.08685705,44.24237531
87.81666667,75.71836753,51.56606071
96.06666667,70.96784464,56.7557905
101.3666667,68.16723148,60.75433659
111.2166667,57.96719363,67.01870885
118.9333333,44.77394886,81.13639531
140.2,25.60110475,100.5008226
