Time / min,4SO2MeArOPh,Product
0,112.7296138,0
1.833333332,112.6233774,0.106236372
10.76666666,112.7296138,0
191.5833333,105.5165961,7.213017729
199.5,105.273115,7.456498778
893.8333333,90.70971782,22.01989599
919.8166667,88.83768593,22.94209141
957.4166667,84.86557911,26.91419823
977.3,82.36312468,29.41665266
1051.266667,75.53205733,36.24772001
1059.9,74.37829375,36.13796464
1218.666667,63.74041411,46.77584428
1320.833333,58.73686998,51.77938841
1404.3,53.08260006,57.43365833
1425.683333,43.95770502,64.69995121
1527.133333,29.56003301,79.09762323
2409.616667,1.595281045,107.0623752
2420.666667,3.515055598,105.1426006
