Time / min,4SO2MeArOPh,Product
0,132.299575,0
3.466666667,122.1039966,10.19557839
6.75,115.9447041,16.35487088
16.41666667,105.6309816,26.66859332
46.95,95.61811192,36.68146304
50.38333333,85.27240064,45.73830962
53.03333333,75.14863814,55.86207212
57.98333333,62.88578562,68.12492464
60.41666667,58.22050633,71.63566339
68.01666667,48.6520251,81.20414462
75.9,42.11432577,87.74184395
78.81666667,32.76636653,95.05251877
88.93333333,12.41734175,115.4015436
100.6833333,5.011080272,122.807805
140,0,127.8188853
