Time / min,4SO2Me-ArOPh,Product
0,138.7885414,0
7.550000005,133.6632865,5.313929017
26.98333333,125.0038775,14.65831301
77,112.7545268,28.0229832
144.95,106.2655999,35.0998201
150.75,100.2083897,39.26141578
172.95,83.98834242,55.57887959
177.6666667,81.03366174,57.55527596
225.8333333,65.56207943,73.2433117
243.2166667,61.85431401,76.98271444
246.8833333,55.51441474,78.4172201
406.3833333,3.55175088,134.0530005
414.25,3.047167323,135.5756412
955,0,135.039155
